user,item,rate
0,0,5
0,1,4
0,2,5
0,3,5
0,4,5
0,5,4
0,6,5
0,7,5
0,8,5
0,9,5
0,10,3
0,11,4
0,12,5
0,13,5
0,14,4
0,15,5
0,16,5
0,17,5
0,18,5
0,19,5
0,20,5
0,21,5
0,22,4
0,23,4
0,24,5
0,25,4
0,26,5
0,27,5
0,28,4
0,29,5
0,30,4
0,31,5
0,32,5
0,33,5
0,34,5
0,35,4
0,36,5
0,37,1
0,38,5
0,39,5
0,40,3
0,41,5
0,42,5
0,43,4
0,44,5
0,45,4
0,46,4
0,47,5
0,48,2
0,49,5
0,50,5
0,51,3
0,52,4
0,53,5
0,54,5
0,55,5
0,56,5
0,57,4
0,58,5
0,59,4
0,60,5
0,61,5
0,62,5
0,63,5
0,64,5
0,65,5
0,66,5
0,67,5
0,68,5
0,69,5
0,70,5
0,71,5
0,72,5
0,73,5
0,74,5
0,75,5
0,76,5
0,77,2
0,78,5
0,79,4
0,80,4
0,81,5
0,82,5
0,83,3
0,84,5
0,85,4
0,86,4
0,87,5
0,88,5
0,89,5
0,90,5
0,91,5
0,92,5
0,93,5
0,94,4
0,95,5
0,96,5
0,97,5
0,98,4
0,99,4
0,100,5
0,101,4
0,102,5
0,103,3
0,104,5
0,105,5
0,106,5
0,107,5
0,108,4
0,109,5
0,110,4
0,111,5
0,112,5
0,113,5
0,114,5
0,115,5
0,116,4
0,117,5
0,118,1
0,119,5
0,120,5
0,121,3
0,122,5
0,123,5
0,124,5
0,125,5
0,126,4
0,127,5
0,128,5
0,129,5
0,130,5
0,131,3
0,132,5
0,133,4
0,134,5
0,135,4
0,136,5
0,137,4
0,138,5
0,139,4
0,140,5
0,141,4
0,142,5
0,143,5
0,144,1
0,145,4
0,146,3
0,147,3
0,148,4
0,149,5
0,150,5
0,151,5
0,152,5
0,153,5
0,154,5
0,155,5
0,156,4
0,157,4
0,158,5
0,159,5
0,160,3
0,161,5
0,162,5
0,163,5
0,164,5
0,165,3
0,166,5
0,167,4
0,168,5
0,169,1
0,170,5
0,171,5
0,172,5
0,173,4
0,174,4
0,175,4
0,176,5
0,177,3
0,178,2
0,179,5
0,180,4
0,181,5
0,182,5
0,183,5
0,184,5
0,185,5
0,186,1
0,187,5
0,188,5
0,189,4
0,190,5
0,191,5
0,192,5
0,193,4
0,194,5
0,195,5
0,196,5
0,197,5
0,198,5
0,199,5
0,200,4
0,201,4
0,202,5
0,203,5
0,204,5
0,205,5
0,206,4
0,207,5
0,208,3
0,209,5
0,210,5
0,211,1
0,212,5
0,213,5
0,214,4
0,215,2
0,216,5
0,217,4
0,218,5
0,219,5
0,220,5
0,221,5
0,222,3
0,223,1
0,224,4
0,225,3
0,226,1
0,227,5
0,228,5
0,229,5
0,230,5
0,231,5
0,232,5
0,233,5
0,234,5
0,235,5
0,236,5
0,237,5
0,238,5
0,239,5
0,240,5
0,241,5
0,242,1
0,243,5
0,244,5
0,245,5
0,246,5
0,247,5
0,248,5
0,249,5
0,250,3
0,251,5
0,252,5
0,253,4
0,254,5
0,255,5
0,256,5
0,257,5
0,258,3
0,259,5
0,260,5
0,261,5
0,262,5
0,263,5
0,264,5
0,265,5
0,266,5
0,267,3
0,268,5
0,141,3
0,269,5
0,270,5
0,271,4
0,272,5
0,273,3
0,274,5
0,275,1
0,276,5
0,277,5
0,278,5
0,279,4
0,280,5
0,281,5
